timestamp,heart_rate,hrv_sdnn,resp_rate,resting_hr,steps,distance_km,active_energy_kcal,physical_effort
2026-07-02 20:27:09+09:00,88.0,,,,265.0,0.0381888,2.905,3.1
2026-07-02 20:28:46+09:00,83.0,,,,18.0,0.19549,0.159,1.6
2026-07-02 20:32:44+09:00,80.0,,,,541.0,0.00503671,1.173,5.3
2026-07-02 20:37:20+09:00,101.0,,,,502.0,0.340036,49.732,4.8
2026-07-02 20:37:24+09:00,100.0,,,,502.0,0.340036,49.732,4.8
2026-07-02 20:37:40+09:00,98.0,,,,502.0,0.37891,49.732,3.7
2026-07-02 20:37:45+09:00,99.0,,,,502.0,0.37891,49.732,3.7
2026-07-02 20:37:47+09:00,97.0,,,,502.0,0.37891,49.732,3.7
2026-07-02 20:41:43+09:00,171.0,,,,8.0,,,1.8
2026-07-02 20:44:29+09:00,159.0,,,,155.0,,0.122,4.4
2026-07-02 20:46:18+09:00,104.0,,,,,,0.122,1.5
2026-07-02 20:47:39+09:00,99.0,,,,,0.0293626,0.122,
2026-07-02 20:54:04+09:00,90.0,,,,20.0,0.0155099,0.111,4.4
