timestamp,heart_rate,hrv_sdnn,resp_rate,resting_hr,steps,distance_km,active_energy_kcal,physical_effort
2026-07-30 18:58:25+09:00,85.0,,,,18.0,0.012699,4.296,5.6
2026-07-30 19:09:11+09:00,84.0,,,,258.0,0.16406,6.414,4.8
2026-07-30 19:12:41+09:00,102.0,,,,189.0,0.134441,6.414,3.4
2026-07-30 19:15:11+09:00,91.0,,,,,,,1.5
2026-07-30 19:19:16+09:00,97.0,,,,8.0,0.00536,0.074,1.9
2026-07-30 19:24:06+09:00,103.0,,,,564.0,0.0345695,0.894,3.3
2026-07-30 19:25:51+09:00,100.0,,,,564.0,0.016848,0.222,2.4
2026-07-30 19:25:56+09:00,102.0,,,,564.0,0.016848,0.222,3.2
2026-07-30 19:26:01+09:00,101.0,,,,564.0,0.016848,0.222,3.2
2026-07-30 19:26:04+09:00,102.0,,,,564.0,0.016848,0.222,3.2
2026-07-30 19:26:09+09:00,102.0,,,,564.0,0.016848,0.222,1.8
2026-07-30 19:26:13+09:00,101.0,,,,564.0,0.016848,0.222,1.8
2026-07-30 19:26:17+09:00,104.0,,,,564.0,0.016848,0.222,1.8
2026-07-30 19:27:20+09:00,99.0,,,,,0.040919,0.973,3.7
