timestamp,heart_rate,hrv_sdnn,resp_rate,resting_hr,steps,distance_km,active_energy_kcal,physical_effort
2026-07-25 20:40:58+09:00,105.0,,,,,,,
2026-07-25 20:45:47+09:00,101.0,,,,,,7.228,
2026-07-25 20:49:42+09:00,104.0,,,,213.0,0.00453418,7.228,5.6
2026-07-25 20:53:54+09:00,125.0,,,,182.0,0.138269,,1.7
2026-07-25 20:56:15+09:00,141.0,,,,,,1.28,1.3
2026-07-25 20:57:13+09:00,99.0,,,,,,1.28,1.3
2026-07-25 20:59:06+09:00,101.0,,,,,,1.28,
2026-07-25 21:02:19+09:00,95.0,,,,8.0,0.00453418,0.519,
2026-07-25 21:05:50+09:00,100.0,,,,,,,
